name,description,slug,competency,tools_languages_methodologies,learning_resources,related_skills,rank
Portfolio management,"Ability to oversee and manage a programme of work or a collection of projects within an organisation to ensure that they align with the strategic goals, priorities and resource availability.",portfolio-management,programme-and-project-management,,,,1440
Project management,"Knowledge of the frameworks, processes and best practices that guide how a project is planned, executed, monitored and evaluated.",project-management,programme-and-project-management,agile|delegation|prince2|scrum|waterfall,cscces-project-management-for-stem-professionals|harvard-business-review-project-management-handbook-how-to-launch-lead-and-sponsor-successful-projects|university-of-manchester-internal-agilescrum-course-work-in-progress,project-scoping-and-setting-realistic-goals|meeting-chairing-and-management|stakeholder-and-user-engagement,1410
Project scoping and setting realistic goals,"Ability to define and clarify the boundaries, objectives and expected outcomes of a project, ensuring that they are achievable, measurable and aligned with the available resources.",project-scoping-and-setting-realistic-goals,programme-and-project-management,data-management-plans|software-management-plans,,project-management,1400
Risk management,"Ability to identify, assess, mitigate and monitor risks that could negatively affect a project, organisation or process.",risk-management,programme-and-project-management,risk-matrix,,,1450
Stakeholder and user engagement,"Building and maintaining positive relationships with stakeholders or users by communicating clearly, understanding their needs, involving them in the process, gathering feedback and providing value and ensuring satisfaction with the final product or service.",stakeholder-and-user-engagement,programme-and-project-management,,,project-management,1540
Stakeholder management,"Ability to manage expectations of different stakeholders (e.g. partners and PIs), negotiation between partner needs and RSE practicalities.",stakeholder-management,programme-and-project-management,stakeholder-analysis,,,1480
Task management,"Ability to effectively identify, break down, organise, assign, prioritise and track tasks and the use of resources (time, money and human resources) to ensure goals are achieved efficiently, within scope, and on schedule.",task-management,programme-and-project-management,asana|gantt-charts|github-issues|github-projects|trello,task-management-wikipedia,,1430
Understanding institutional bureaucracy or politics,"Ability to navigate and make sense of the complex structures, rules, power dynamics and interpersonal relationships within academic institutions.",understanding-institutional-bureaucracy-or-politics,programme-and-project-management,,,,1510
Business development and grant proposal writing ,"Understanding the needs and interests of potential funders or decision-makers, articulating the goals and benefits of the proposed project or business case in a clear and persuasive way and providing strong justification for why it should be supported.  ",business-development-and-grant-proposal-writing,leadership,data-management-plans|software-management-plans,budget-allocations-for-uk-research-and-innovation|everything-you-wanted-to-know-about-applying-for-grants-but-didnt-ask|funding-higher-education-in-england|funding-higher-education-in-northern-ireland|funding-higher-education-in-scotland|funding-higher-education-in-wales|how-to-write-a-good-application|uk-research-funding-model|ukris-guide-to-appling-for-funding,,1340
Leading change,"Ability to create a shift in mindset and behavior, empowering individuals and ensuring that the change is sustainable in the long run - drawing on emotional intelligence, strategic thinking, communication and organisational management.",leading-change,leadership,,leadership-and-followership,,1360
Long-term strategic planning,"Ability to do horizon scanning (identify emerging trends, technologies, risks and opportunities and anticipate their impact on research) in order to develop a roadmap for an organisation or initiative's future direction over an extended period of time.",longterm-strategic-planning,leadership,,futures-foresight-and-horizon-scanning,,1310
Mentoring and coaching,"Providing guidance, support and advice to a less experienced individual to help them grow personally and professionally.",mentoring-and-coaching,leadership,,exploring-career-mentoring-and-coaching,team-building-and-development,1320
Motivation and inspiration,"Ability to encourage, energise, and empower others to take action, pursue goals, or strive for continuous improvement",motivation-and-inspiration,leadership,,,,1330
Setting a mission,"Ability to define and articulate a clear mission that expresses the purpose, goals, and intended impact of a project, initiative, team or organisation, providing direction and alignment for decision-making and activities.",setting-a-mission,leadership,,missions-a-beginners-guide,starting-an-organisation|community-building-and-leadership,1370
Setting policies and guidelines,"Ability to analyse processes, identify areas for improvement and design clear policies and practical guidelines that establish standards, expectations or good practices within a project, organisation or across institutions.",setting-policies-and-guidelines,leadership,,10-simple-rules-for-writing-10-simple-rules-papers,,1350
Starting an organisation,"Conceive, establish and formally structure a new entity, including defining its mission and scope, setting up governance and operational processes, securing resources, and ensuring legal, financial, and technical foundations are in place",starting-an-organisation,leadership,,how-to-build-a-skills-based-organisation-in-5-steps|how-to-start-a-nonprofit-organisation-in-the-uk|open-source-project-culture-and-practices,setting-a-mission|open-project-culture-structure-and-practices,1380
